state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_raw,alert_gfs_cal
Assam,Barpeta,14.63541678339243,4.229690057692462,0.3,4.390625035017728,0.0,NO ALERT,NO ALERT,20260706,18,0.7791558051864451,12.0,5,11.403269948103341,MODERATE,MODERATE
Assam,Bongaigaon,20.46875,5.193898582632003,0.3,6.140625,0.0,NO ALERT,NO ALERT,20260706,18,0.5513738148498962,12.0,9,11.285932772708813,MODERATE,MODERATE
Assam,Cachar,11.354166597127914,6.444271537175053,0.5675688728052625,6.444271537175053,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,2,11.354166597127914,MODERATE,MODERATE
Assam,Darrang,12.962500095367432,4.472307815772213,0.3450189224970989,4.472307815772213,0.0,NO ALERT,NO ALERT,20260706,18,0.9540504692701485,12.0,4,12.366879298899642,MODERATE,MODERATE
Assam,Dhemaji,72.5,5.371290603422955,0.3,21.75,0.0,MODERATE,NO ALERT,20260706,18,0.25,12.0,1,18.125,HEAVY,MODERATE
Assam,Dhuburi,25.375,6.0698758556061,0.3,7.6125,0.0,NO ALERT,NO ALERT,20260706,18,0.3002184618290384,12.0,5,7.618043468911849,MODERATE,NO ALERT
Assam,Dibrugarh,35.6875,5.371645166684095,0.3,10.70625,0.0,MODERATE,NO ALERT,20260706,18,0.25,12.0,4,8.921875,MODERATE,NO ALERT
Assam,Goalpara,13.270833164453506,5.112245992064204,0.3852241926872815,5.112245992064204,0.0,NO ALERT,NO ALERT,20260706,18,0.4294130798145049,12.0,6,5.698669340852452,MODERATE,NO ALERT
Assam,Kamrup,11.427083283662796,4.595322947904944,0.4021431220751527,4.595322947904944,0.0,NO ALERT,NO ALERT,20260706,18,0.607436870117744,12.0,7,11.427083283662796,MODERATE,MODERATE
Assam,Kokrajhar,24.171875,6.306809190808706,0.3,7.251562499999999,0.0,NO ALERT,NO ALERT,20260706,18,0.5745280570268269,12.0,5,13.88742037844533,MODERATE,MODERATE
Assam,Lakhimpur,11.656249836087229,7.606728222571552,0.6525879532044228,7.606728222571552,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,1,11.656249836087229,MODERATE,MODERATE
Assam,Marigaon,20.59375,3.200506898689352,0.3,6.178125,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,2,5.1484375,MODERATE,NO ALERT
Assam,Nagaon,16.56250036507845,4.233937135175482,0.3,4.968750109523534,0.0,NO ALERT,NO ALERT,20260706,18,1.4976062399937187,12.0,1,24.804103896639727,MODERATE,MODERATE
Assam,Sonitpur,16.700000196695328,5.10844658204954,0.3058950013102648,5.10844658204954,0.0,NO ALERT,NO ALERT,20260706,18,0.6718182046204615,12.0,2,11.219364149305209,MODERATE,MODERATE
Assam,Tinsukia,130.51250302791595,5.118477881134373,0.3,39.15375090837478,0.0,MODERATE,NO ALERT,20260706,18,0.25,12.0,2,32.62812575697899,VERY HEAVY,MODERATE
Bihar,Araria,18.03125,3.4563262750381885,0.3,5.409375,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,18.03125,MODERATE,MODERATE
Bihar,Kishanganj,23.40625,6.333738160051712,0.3,7.021875,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,1,5.8515625,MODERATE,NO ALERT
Bihar,Madhubani,11.12500011920929,2.809729748837752,0.3,3.337500035762787,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,11.12500011920929,MODERATE,MODERATE
Bihar,Purnia,10.5,3.033360581698755,0.3,3.15,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.5,MODERATE,MODERATE
