district,basin
Pakur,Ganga Basin
Palamu,Ganga Basin
Pashchim Singhbhum,Brahmani and Baitarni Basin
Pashchim Singhbhum,Subernarekha Basin
Purba Singhbhum,Subernarekha Basin
Purba Singhbhum,Ganga Basin
Ranchi,Brahmani and Baitarni Basin
Ranchi,Subernarekha Basin
Ranchi,Ganga Basin
Sahibganj,Ganga Basin
Saraikela Kharsawan,Subernarekha Basin
Saraikela Kharsawan,Ganga Basin
Simdega,Mahanadi Basin
Simdega,Brahmani and Baitarni Basin
Bagalkot,Krishna Basin
Bangalore Rural,East flowing rivers between Pennar and Cauvery Basin
Bangalore Rural,Cauvery Basin
Bangalore Rural,Pennar Basin
Bangalore Urban,East flowing rivers between Pennar and Cauvery Basin
Bangalore Urban,Cauvery Basin
Belgaum,West flowing rivers South of Tapi Basin
Belgaum,Krishna Basin
Bellary,Krishna Basin
Bidar,Krishna Basin
Bidar,Godavari Basin
Bijapur,Krishna Basin
Chamrajnagar,Cauvery Basin
Chikmagalur,Cauvery Basin
Chikmagalur,Krishna Basin
Chikmagalur,West flowing rivers South of Tapi Basin
Chitradurga,Krishna Basin
Dakshin Kannad,Krishna Basin
Dakshin Kannad,West flowing rivers South of Tapi Basin
Davanagere,Krishna Basin
Dharwad,Krishna Basin
Dharwad,West flowing rivers South of Tapi Basin
Gadag,Krishna Basin
Gulbarga,Krishna Basin
Gulbarga,Godavari Basin
Hassan,Cauvery Basin
Hassan,Krishna Basin
Hassan,West flowing rivers South of Tapi Basin
Haveri,Krishna Basin
Haveri,West flowing rivers South of Tapi Basin
Kodagu,Cauvery Basin
Kodagu,West flowing rivers South of Tapi Basin
Kolar,East flowing rivers between Pennar and Cauvery Basin
Kolar,Pennar Basin
Kolar,Cauvery Basin
Koppal,Krishna Basin
Mandya,Cauvery Basin
Mysore,Cauvery Basin
Raichur,Krishna Basin
Shimoga,Krishna Basin
Shimoga,West flowing rivers South of Tapi Basin
Tumkur,Cauvery Basin
Tumkur,Pennar Basin
Tumkur,Krishna Basin
Udupi,Krishna Basin
Udupi,West flowing rivers South of Tapi Basin
Uttar Kannand,Krishna Basin
Uttar Kannand,West flowing rivers South of Tapi Basin
Alappuzha,West flowing rivers South of Tapi Basin
Ernakulam,West flowing rivers South of Tapi Basin
Idukki,East flowing rivers South of Cauvery Basin
Idukki,West flowing rivers South of Tapi Basin
Idukki,Cauvery Basin
Kannur,West flowing rivers South of Tapi Basin
Kannur,Cauvery Basin
Kasaragod,West flowing rivers South of Tapi Basin
Kollam,East flowing rivers South of Cauvery Basin
Kollam,West flowing rivers South of Tapi Basin
Kottayam,West flowing rivers South of Tapi Basin
Kozhikode,West flowing rivers South of Tapi Basin
Kozhikode,Cauvery Basin
Malappuram,West flowing rivers South of Tapi Basin
Malappuram,Cauvery Basin
Palakkad,West flowing rivers South of Tapi Basin
Palakkad,Cauvery Basin
Pattanamtitta,East flowing rivers South of Cauvery Basin
Pattanamtitta,West flowing rivers South of Tapi Basin
Thiruvananthapuram,East flowing rivers South of Cauvery Basin
Thiruvananthapuram,West flowing rivers South of Tapi Basin
Thrissur,West flowing rivers South of Tapi Basin
Wayanad,West flowing rivers South of Tapi Basin
Wayanad,Cauvery Basin
Kavaratti,Drainage Area of Lakshadweep Islands Basin
Anuppur,Mahanadi Basin
Anuppur,Ganga Basin
Ashoknagar,Ganga Basin
Datia,Ganga Basin
Dewas,Narmada Basin
Dewas,Ganga Basin
Dhar,Mahi Basin
Dhar,Narmada Basin
Dhar,Ganga Basin
Dindori,Mahanadi Basin
Dindori,Narmada Basin
Dindori,Ganga Basin
East Nimar,Tapi Basin
East Nimar,Narmada Basin
Guna,Ganga Basin
Gwalior,Ganga Basin
Harda,Tapi Basin
Harda,Narmada Basin
Hoshangabad,Narmada Basin
Indore,Narmada Basin
Indore,Ganga Basin
Jabalpur,Narmada Basin
Jabalpur,Ganga Basin
Jhabua,Narmada Basin
Jhabua,Mahi Basin
Katni,Narmada Basin
Katni,Ganga Basin
Mandla,Godavari Basin
Mandla,Narmada Basin
Mandla,Ganga Basin
Mandsaur,Ganga Basin
Morena,Ganga Basin
Narsinghpur,Narmada Basin
Narsinghpur,Ganga Basin
Neemuch,Mahi Basin
Neemuch,Ganga Basin
Panna,Ganga Basin
Raisen,Narmada Basin
Raisen,Ganga Basin
Rajgarh,Ganga Basin
Ratlam,Mahi Basin
Ratlam,Ganga Basin
Rewa,Ganga Basin
Sagar,Narmada Basin
Sagar,Ganga Basin
Satna,Ganga Basin
Sehore,Narmada Basin
Sehore,Ganga Basin
Seoni,Godavari Basin
Seoni,Narmada Basin
Shahdol,Mahanadi Basin
Shahdol,Narmada Basin
Shahdol,Ganga Basin
Shajapur,Ganga Basin
Sheopur,Ganga Basin
Shivpuri,Ganga Basin
Sidhi,Ganga Basin
Pune,Krishna Basin
Pune,West flowing rivers South of Tapi Basin
Pune,Godavari Basin
Raigarh,West flowing rivers South of Tapi Basin
Raigarh,Krishna Basin
Ratnagiri,West flowing rivers South of Tapi Basin
Ratnagiri,Krishna Basin
Sangli,Krishna Basin
Sangli,West flowing rivers South of Tapi Basin
Satara,West flowing rivers South of Tapi Basin
Satara,Krishna Basin
Sindhudurg,West flowing rivers South of Tapi Basin
Sindhudurg,Krishna Basin
Solapur,Krishna Basin
Thane,Krishna Basin
Thane,West flowing rivers South of Tapi Basin
Thane,Godavari Basin
Wardha,Godavari Basin
Washim,Godavari Basin
Washim,Tapi Basin
Yavatmal,Godavari Basin
Bishnupur,Minor rivers draining into Myanmar Basin
Chandel,Minor rivers draining into Myanmar Basin
Churachandpur,Barak and others Basin
Churachandpur,Minor rivers draining into Myanmar Basin
East Imphal,Barak and others Basin
East Imphal,Minor rivers draining into Myanmar Basin
Senapati,Barak and others Basin
Senapati,Minor rivers draining into Myanmar Basin
Senapati,Brahmaputra Basin
Tamenglong,Barak and others Basin
Tamenglong,Minor rivers draining into Myanmar Basin
Thoubal,Minor rivers draining into Myanmar Basin
Ukhrul,Minor rivers draining into Myanmar Basin
West Imphal,Minor rivers draining into Myanmar Basin
East Garo Hills,Barak and others Basin
East Garo Hills,Brahmaputra Basin
East Khasi Hills,Barak and others Basin
East Khasi Hills,Brahmaputra Basin
Jaintia Hills,Barak and others Basin
Jaintia Hills,Brahmaputra Basin
Ri-Bhoi,Brahmaputra Basin
South Garo Hills,Barak and others Basin
West Garo Hills,Barak and others Basin
West Garo Hills,Brahmaputra Basin
West Khasi Hills,Barak and others Basin
West Khasi Hills,Brahmaputra Basin
Aizawl,Minor rivers draining into Myanmar Basin
Aizawl,Barak and others Basin
Champhai,Minor rivers draining into Myanmar Basin
Champhai,Barak and others Basin
Kolasib,Barak and others Basin
Lawngtlai,Minor rivers draining into Bangladesh Basin
Lawngtlai,Minor rivers draining into Myanmar Basin
Lunglei,Minor rivers draining into Bangladesh Basin
Lunglei,Minor rivers draining into Myanmar Basin
Lunglei,Barak and others Basin
Mamit,Minor rivers draining into Bangladesh Basin
Mamit,Barak and others Basin
Saiha,Minor rivers draining into Myanmar Basin
Serchhip,Minor rivers draining into Myanmar Basin
Serchhip,Barak and others Basin
Dimapur,Brahmaputra Basin
Kohima,Barak and others Basin
Kohima,Brahmaputra Basin
Mokokchung,Brahmaputra Basin
Mon,Minor rivers draining into Myanmar Basin
Mon,Brahmaputra Basin
Phek,Minor rivers draining into Myanmar Basin
Phek,Brahmaputra Basin
Tuensang,Minor rivers draining into Myanmar Basin
Tuensang,Brahmaputra Basin
Wokha,Brahmaputra Basin
Zunheboto,Minor rivers draining into Myanmar Basin
Zunheboto,Brahmaputra Basin
Angul,Mahanadi Basin
Angul,Brahmani and Baitarni Basin
Baleshwar,Brahmani and Baitarni Basin
Baleshwar,Subernarekha Basin
Baleshwar,Ganga Basin
Baragarh,Mahanadi Basin
Bhadrak,Brahmani and Baitarni Basin
Bolangir,Mahanadi Basin
Boudh,Mahanadi Basin
Cuttack,Mahanadi Basin
Cuttack,Brahmani and Baitarni Basin
Deogarh,Mahanadi Basin
Deogarh,Brahmani and Baitarni Basin
Dhenkanal,Mahanadi Basin
Dhenkanal,Brahmani and Baitarni Basin
Gajapati,East flowing rivers between Mahanadi and Godavari Basin
Ganjam,East flowing rivers between Mahanadi and Godavari Basin
Ganjam,Mahanadi Basin
Jagatsinghpur,Mahanadi Basin
Jajpur,Mahanadi Basin
Jajpur,Brahmani and Baitarni Basin
Jharsuguda,Mahanadi Basin
Kalahandi,East flowing rivers between Mahanadi and Godavari Basin
Kalahandi,Mahanadi Basin
Kalahandi,Godavari Basin
Kandhamal,East flowing rivers between Mahanadi and Godavari Basin
Kandhamal,Mahanadi Basin
Kendrapara,Mahanadi Basin
Kendrapara,Brahmani and Baitarni Basin
Keonjhar,Brahmani and Baitarni Basin
Khordha,East flowing rivers between Mahanadi and Godavari Basin
Khordha,Mahanadi Basin
Koraput,Godavari Basin
Koraput,East flowing rivers between Mahanadi and Godavari Basin
Malkangiri,Godavari Basin
Mayurbhanj,Brahmani and Baitarni Basin
Mayurbhanj,Subernarekha Basin
Nabarangpur,Mahanadi Basin
Nabarangpur,Godavari Basin
Nayagarh,East flowing rivers between Mahanadi and Godavari Basin
Nayagarh,Mahanadi Basin
Nuapada,Mahanadi Basin
Puri,Mahanadi Basin
Rayagada,East flowing rivers between Mahanadi and Godavari Basin
Rayagada,Mahanadi Basin
Rayagada,Godavari Basin
Sambalpur,Mahanadi Basin
Sambalpur,Brahmani and Baitarni Basin
Sonepur,Mahanadi Basin
Sundargarh,Brahmani and Baitarni Basin
Sundargarh,Mahanadi Basin
Karaikal,Cauvery Basin
Mahe,West flowing rivers South of Tapi Basin
Puducherry,East flowing rivers between Pennar and Cauvery Basin
Yanam,Godavari Basin
Amritsar,Indus (Up to border) Basin
Bathinda,Indus (Up to border) Basin
Faridkot,Indus (Up to border) Basin
Fatehgarh Sahib,Indus (Up to border) Basin
Firozpur,Indus (Up to border) Basin
Gurdaspur,Indus (Up to border) Basin
Hoshiarpur,Indus (Up to border) Basin
Jalandhar,Indus (Up to border) Basin
Kapurthala,Indus (Up to border) Basin
Ludhiana,Indus (Up to border) Basin
Mansa,Indus (Up to border) Basin
Moga,Indus (Up to border) Basin
Muktsar,Indus (Up to border) Basin
Nawan Shehar,Indus (Up to border) Basin
Patiala,Indus (Up to border) Basin
Rupnagar,Indus (Up to border) Basin
Sangrur,Indus (Up to border) Basin
Ajmer,Ganga Basin
Ajmer,West flowing rivers of Kutch and Saurashtra including Luni Basin
Alwar,Ganga Basin
Alwar,Indus (Up to border) Basin
Banswara,Mahi Basin
Baran,Ganga Basin
Barmer,West flowing rivers of Kutch and Saurashtra including Luni Basin
Barmer,Indus (Up to border) Basin
Bharatpur,Ganga Basin
Bhilwara,Ganga Basin
Bhilwara,West flowing rivers of Kutch and Saurashtra including Luni Basin
Bikaner,Indus (Up to border) Basin
Bundi,Ganga Basin
Chittaurgarh,Mahi Basin
Chittaurgarh,Ganga Basin
Churu,Indus (Up to border) Basin
Dausa,Ganga Basin
Dhaulpur,Ganga Basin
Dungarpur,Mahi Basin
Dungarpur,Sabarmati Basin
Ganganagar,Indus (Up to border) Basin
Hanumangarh,Indus (Up to border) Basin
Jaipur,Ganga Basin
Jaipur,Indus (Up to border) Basin
Jaisalmer,West flowing rivers of Kutch and Saurashtra including Luni Basin
Jaisalmer,Indus (Up to border) Basin
Jalor,West flowing rivers of Kutch and Saurashtra including Luni Basin
Jhalawar,Ganga Basin
Jhunjhunun,Indus (Up to border) Basin
Jodhpur,West flowing rivers of Kutch and Saurashtra including Luni Basin
Jodhpur,Indus (Up to border) Basin
Tonk,Ganga Basin
Udaipur,Mahi Basin
Udaipur,Sabarmati Basin
Udaipur,West flowing rivers of Kutch and Saurashtra including Luni Basin
Udaipur,Ganga Basin
East,Brahmaputra Basin
North Sikkim,Brahmaputra Basin
South Sikkim,Brahmaputra Basin
West Sikkim,Brahmaputra Basin
Ariyalur,Cauvery Basin
Ariyalur,East flowing rivers between Pennar and Cauvery Basin
Chennai,East flowing rivers between Pennar and Cauvery Basin
Coimbatore,West flowing rivers South of Tapi Basin
Coimbatore,Cauvery Basin
Cuddalore,Cauvery Basin
Cuddalore,East flowing rivers between Pennar and Cauvery Basin
Dharmapuri,East flowing rivers between Pennar and Cauvery Basin
Dharmapuri,Cauvery Basin
Dindigul,East flowing rivers South of Cauvery Basin
Dindigul,Cauvery Basin
Erode,Cauvery Basin
Kancheepuram,East flowing rivers between Pennar and Cauvery Basin
Kanniyakumari,East flowing rivers South of Cauvery Basin
Kanniyakumari,West flowing rivers South of Tapi Basin
Karur,Cauvery Basin
Sivaganga,East flowing rivers South of Cauvery Basin
Thanjavur,East flowing rivers South of Cauvery Basin
Thanjavur,Cauvery Basin
Theni,East flowing rivers South of Cauvery Basin
Theni,West flowing rivers South of Tapi Basin
Theni,Cauvery Basin
Thiruvallur,East flowing rivers between Pennar and Cauvery Basin
Thiruvarur,Cauvery Basin
Thoothukudi,East flowing rivers South of Cauvery Basin
Tiruchchirappalli,East flowing rivers South of Cauvery Basin
Tiruchchirappalli,Cauvery Basin
Tiruchchirappalli,East flowing rivers between Pennar and Cauvery Basin
Tirunelveli Kattabo,East flowing rivers South of Cauvery Basin
Tirunelveli Kattabo,West flowing rivers South of Tapi Basin
Tiruvannamalai,East flowing rivers between Pennar and Cauvery Basin
Vellore,East flowing rivers between Pennar and Cauvery Basin
Villupuram,East flowing rivers between Pennar and Cauvery Basin
Virudhunagar,East flowing rivers South of Cauvery Basin
Virudhunagar,West flowing rivers South of Tapi Basin
Dhalai,Barak and others Basin
North Tripura,Minor rivers draining into Bangladesh Basin
North Tripura,Barak and others Basin
South Tripura,Minor rivers draining into Bangladesh Basin
South Tripura,Barak and others Basin
West Tripura,Minor rivers draining into Bangladesh Basin
West Tripura,Barak and others Basin
Agra,Ganga Basin
Aligarh,Ganga Basin
Allahabad,Ganga Basin
Ambedkar Nagar,Ganga Basin
Auraiya,Ganga Basin
Azamgarh,Ganga Basin
Badaun,Ganga Basin
Baghpat,Ganga Basin
Bahraich,Ganga Basin
Ballia,Ganga Basin
Balrampur,Ganga Basin
Banda,Ganga Basin
Bara Banki,Ganga Basin
Bareilly,Ganga Basin
Basti,Ganga Basin
Bijnor,Ganga Basin
Bulandshahr,Ganga Basin
Chandauli,Ganga Basin
Chitrakoot,Ganga Basin
Deoria,Ganga Basin
Etah,Ganga Basin
Etawah,Ganga Basin
Faizabad,Ganga Basin
Farrukhabad,Ganga Basin
Fatehpur,Ganga Basin
Firozabad,Ganga Basin
Gautam Buddha Nagar,Ganga Basin
