unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
watershed,A01BEA01,Watershed A01BEA01,Indus (Up to border) Basin,Beas,543.14932091,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,1.25,1.25,2.4106287811880245,3.0132859764850304,,,0,,0.0,9.69903564453125,MATCHED,-8.44903564453125,8.44903564453125,-87.11212077352447,2026-07-07 04:58:18
watershed,A01BEA02,Watershed A01BEA02,Indus (Up to border) Basin,Beas,658.28657584,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,3.75,3.75,0.99758350594403,3.740938147290112,,,0,,0.0,11.451981544494627,MATCHED,-7.701981544494627,7.701981544494627,-67.25457524158553,2026-07-07 04:58:18
watershed,A01BEA03,Watershed A01BEA03,Indus (Up to border) Basin,Beas,814.76692533,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,3.1875,3.1875,1.440182462982231,4.590581600755861,,,0,,0.0,3.725327491760254,MATCHED,-0.5378274917602539,0.5378274917602539,-14.437052660466238,2026-07-07 04:58:18
watershed,A01BEA04,Watershed A01BEA04,Indus (Up to border) Basin,Beas,572.33099057,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,7.875,7.875,0.5517182082086834,4.344780889643382,,,0,,0.0,6.136029243469238,MATCHED,1.7389707565307617,1.7389707565307617,28.34032706707845,2026-07-07 04:58:18
watershed,A01BEA05,Watershed A01BEA05,Indus (Up to border) Basin,Beas,884.03245015,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,8.4375,8.4375,0.5103491780988945,4.306071190209422,,,0,,0.0,7.740705490112305,MATCHED,0.6967945098876953,0.6967945098876953,9.001692556030653,2026-07-07 04:58:18
watershed,A01BEA06,Watershed A01BEA06,Indus (Up to border) Basin,Beas,731.03869751,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,7.770833333333333,7.770833333333333,0.5431719481833398,4.220898680674703,,,0,,0.0,13.65013106664022,MATCHED,-5.879297733306887,5.879297733306887,-43.07136469682258,2026-07-07 04:58:18
watershed,A01BEA07,Watershed A01BEA07,Indus (Up to border) Basin,Beas,652.2686453,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BEA08,Watershed A01BEA08,Indus (Up to border) Basin,Beas,661.09720271,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,8.25,8.25,0.587488930410446,4.846783675886179,,,0,,0.0,9.330574989318848,MATCHED,-1.0805749893188477,1.0805749893188477,-11.581011787117442,2026-07-07 04:58:18
watershed,A01BEA09,Watershed A01BEA09,Indus (Up to border) Basin,Beas,781.35199005,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,5.75,5.75,0.8540497857094379,4.910786267829268,,,0,,0.0,5.730180263519287,MATCHED,0.01981973648071289,0.01981973648071289,0.3458832980681879,2026-07-07 04:58:18
watershed,A01BEA10,Watershed A01BEA10,Indus (Up to border) Basin,Beas,416.30160737,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,2.5625,2.5625,2.0533414076452385,5.261687357090924,,,0,,0.0,11.260802268981934,MATCHED,-8.698302268981934,8.698302268981934,-77.2440725022013,2026-07-07 04:58:18
