parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Madhya Pradesh||Nimach,Nimach,district||Madhya Pradesh||Nimach,Madhya Pradesh,,,568.6846,1.06,13.24
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Pali,Pali,district||Rajasthan||Pali,Rajasthan,,,0.0148,0.0,0.0
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Pratapgarh,Pratapgarh,district||Rajasthan||Pratapgarh,Rajasthan,,,180.1998,0.34,4.06
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Raj Samand,Raj Samand,district||Rajasthan||Raj Samand,Rajasthan,,,4223.4979,7.87,91.16
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Sawai Madhopur,Sawai Madhopur,district||Rajasthan||Sawai Madhopur,Rajasthan,,,3841.299,7.15,76.44
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Sikar,Sikar,district||Rajasthan||Sikar,Rajasthan,,,1616.7344,3.01,20.92
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Tonk,Tonk,district||Rajasthan||Tonk,Rajasthan,,,6768.479,12.61,94.16
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Udaipur,Udaipur,district||Rajasthan||Udaipur,Rajasthan,,,2673.3469,4.98,22.8
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Aizawl,Aizawl,district||Mizoram||Aizawl,Mizoram,,,3099.7706,10.79,97.15
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Assam||Cachar,Cachar,district||Assam||Cachar,Assam,,,3770.4028,13.12,99.81
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Mizoram||Champhai,Champhai,district||Mizoram||Champhai,Mizoram,,,1167.7023,4.06,34.43
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Manipur||Churachandpur,Churachandpur,district||Manipur||Churachandpur,Manipur,,,1497.8787,5.21,61.57
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Assam||Dima Hasao,Dima Hasao,district||Assam||Dima Hasao,Assam,,,916.6664,3.19,18.75
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Nagaland||Dimapur,Dimapur,district||Nagaland||Dimapur,Nagaland,,,6.8167,0.02,0.89
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Meghalaya||East Jaintia Hills,East Jaintia Hills,district||Meghalaya||East Jaintia Hills,Meghalaya,,,721.722,2.51,35.88
subbasin,BAR,Barak,subbasin||BAR,,Barak and others Basin,Barak,district,Assam||Hailakandi,Hailakandi,district||Assam||Hailakandi,Assam,,,1338.4222,4.66,100.0
