state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_raw,alert_gfs_bc,alert_icon,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_cal,date,cycle_utc
Bihar,Gaya,0.4749999977648258,2.9891710743593842,3.0,1.4249999932944775,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.4749999977648258,NO ALERT,20260711,06
Bihar,Gopalganj,0.96875,2.6663937094429992,2.752406409747612,2.6663937094429992,0.0,NO ALERT,NO ALERT,NO ALERT,0.25561793435833413,12.0,1,0.96875,NO ALERT,20260711,06
Bihar,Jamui,1.5208332892507315,3.042330241380217,2.0004363810836105,3.0423302413802173,0.0,NO ALERT,NO ALERT,NO ALERT,0.4091457615673204,12.0,2,1.5208332892507315,NO ALERT,20260711,06
Bihar,Jehanabad,0.4375,2.3227897980441785,3.0,1.3125,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.4375,NO ALERT,20260711,06
Bihar,Katihar,7.299999982118607,3.0951194992743125,0.423988973541894,3.0951194992743125,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,7.299999982118607,NO ALERT,20260711,06
Bihar,Khagaria,2.15625,3.271880493639675,1.5173938521227477,3.271880493639675,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,2.15625,NO ALERT,20260711,06
Bihar,Kishanganj,14.125,6.333738160051712,0.44840624141959023,6.333738160051712,0.0,MODERATE,NO ALERT,NO ALERT,1.1029335104668891,12.0,13,15.57893583534481,MODERATE,20260711,06
Bihar,Lakhisarai,1.395833333954215,2.8760375851093363,2.060444836176748,2.8760375851093363,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.395833333954215,NO ALERT,20260711,06
Bihar,Madhepura,5.28125,3.0318052939101032,0.5740696414504337,3.0318052939101032,0.0,NO ALERT,NO ALERT,NO ALERT,0.32075930375770983,12.0,1,5.28125,NO ALERT,20260711,06
Bihar,Madhubani,12.137500196695328,2.8097297488377517,0.3,3.6412500590085983,0.0,MODERATE,NO ALERT,NO ALERT,1.0,12.0,0,12.137500196695328,MODERATE,20260711,06
Bihar,Munger,1.46875,3.034881180933077,2.0663020806352863,3.034881180933077,0.0,NO ALERT,NO ALERT,NO ALERT,0.25,12.0,1,1.46875,NO ALERT,20260711,06
Bihar,Muzaffarpur,2.265625,2.179447337729882,0.9619629628600859,2.179447337729882,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,2.265625,NO ALERT,20260711,06
Bihar,Nalanda,0.125,3.185450972228834,3.0,0.375,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.125,NO ALERT,20260711,06
Bihar,Nawada,0.0625,2.618970641922461,1.0,0.0625,0.0,NO ALERT,NO ALERT,NO ALERT,1.0147331997429654,12.0,2,0.0625,NO ALERT,20260711,06
Bihar,Pashchim Champaran,8.9921875,3.2414981748092258,0.36047937999616064,3.2414981748092258,0.0,NO ALERT,NO ALERT,NO ALERT,1.392779631870676,12.0,5,8.9921875,NO ALERT,20260711,06
Bihar,Patna,0.8125,2.68387096503826,3.0,2.4375,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.8125,NO ALERT,20260711,06
Bihar,Purba Champaran,5.687499970197678,2.685162770417455,0.4721165335362856,2.685162770417455,0.0,NO ALERT,NO ALERT,NO ALERT,0.5810228283111496,12.0,1,5.687499970197678,NO ALERT,20260711,06
Bihar,Purnia,12.18749988079071,3.033360581698755,0.3,3.656249964237213,0.0,MODERATE,NO ALERT,NO ALERT,0.9735411614237289,12.0,6,11.865032788796546,MODERATE,20260711,06
Bihar,Rohtas,0.4249999886378646,2.5139839563916806,3.0,1.2749999659135938,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.4249999886378646,NO ALERT,20260711,06
Bihar,Saharsa,6.062499865889549,2.490299851974668,0.4107711186908648,2.490299851974668,0.0,NO ALERT,NO ALERT,NO ALERT,0.35362255172705265,12.0,1,6.062499865889549,NO ALERT,20260711,06
Bihar,Samastipur,2.28125,2.8895152297228166,1.2666368130291799,2.8895152297228166,0.0,NO ALERT,NO ALERT,NO ALERT,0.678379729591693,12.0,1,2.28125,NO ALERT,20260711,06
Bihar,Saran,1.575000025331974,2.539369545334006,1.6122980980897224,2.539369545334006,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.575000025331974,NO ALERT,20260711,06
Bihar,Sheikhpura,0.125,2.2952085739741586,3.0,0.375,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.125,NO ALERT,20260711,06
Bihar,Sheohar,4.375,2.3062907262615964,0.5271521660026506,2.3062907262615964,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,4.375,NO ALERT,20260711,06
Bihar,Sitamarhi,9.604166649281979,2.3511557362055124,0.3,2.8812499947845933,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,9.604166649281979,NO ALERT,20260711,06
Bihar,Siwan,0.8333333134651184,3.1477599899790603,3.0,2.4999999403953552,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.8333333134651184,NO ALERT,20260711,06
Bihar,Supaul,12.999999903142452,4.323036430327043,0.33254126634893655,4.323036430327043,0.0,MODERATE,NO ALERT,NO ALERT,2.076626636365135,12.0,5,26.99614607160979,MODERATE,20260711,06
Bihar,Vaishali,1.546875,2.5530183405653664,1.650436098951348,2.5530183405653664,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.546875,NO ALERT,20260711,06
Chandigarh,Chandigarh,0.6875,3.3424762437196627,3.0,2.0625,0.0,NO ALERT,NO ALERT,NO ALERT,0.25,12.0,1,0.6875,NO ALERT,20260711,06
Chhattisgarh,Bastar,0.4517045374959707,4.3570775285186905,3.0,1.3551136124879122,0.0,NO ALERT,NO ALERT,NO ALERT,1.1090404051750804,12.0,8,0.4517045374959707,NO ALERT,20260711,06
Chhattisgarh,Bilaspur,2.109374967869371,3.6573216583937,1.7338414052044395,3.6573216583937,0.0,NO ALERT,NO ALERT,NO ALERT,1.5353507851150217,12.0,13,2.109374967869371,NO ALERT,20260711,06
Chhattisgarh,Dantewada,0.1331521759275347,5.168888140748909,3.0,0.3994565277826041,0.0,NO ALERT,NO ALERT,NO ALERT,1.7787737876522556,12.0,6,0.1331521759275347,NO ALERT,20260711,06
Chhattisgarh,Dhamtari,0.4166666576638818,3.6842112810576344,3.0,1.2499999729916453,0.0,NO ALERT,NO ALERT,NO ALERT,1.5640143955302983,12.0,11,0.4166666576638818,NO ALERT,20260711,06
Chhattisgarh,Durg,0.38020834093913436,3.2083347326782468,3.0,1.140625022817403,0.0,NO ALERT,NO ALERT,NO ALERT,1.3995722992068382,12.0,9,0.38020834093913436,NO ALERT,20260711,06
Chhattisgarh,Janjgir-Champa,1.3750000009313226,3.9399775100080934,2.8654381871559607,3.9399775100080934,0.0,NO ALERT,NO ALERT,NO ALERT,2.2810527448500344,12.0,12,1.3750000009313226,NO ALERT,20260711,06
