unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Rajasthan||Alwar,Alwar,,,,Rajasthan,Alwar,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.2723214239813387,0.2723214239813387,3.0,0.8169642719440162,1.0,12.0,0,0.2723214239813387,0.0,0.5082149479006018,MATCHED,-0.23589352391926316,0.23589352391926316,-46.41609320893094,2026-07-03 12:56:55
district,Rajasthan||Alwar,Alwar,,,,Rajasthan,Alwar,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0133928577415645,0.0133928577415645,1.0,0.0133928577415645,1.0,12.0,0,0.0133928577415645,0.0,0.5082149479006018,MATCHED,-0.49482209015903733,0.49482209015903733,-97.36472573329664,2026-07-03 17:42:45
district,Rajasthan||Alwar,Alwar,,,,Rajasthan,Alwar,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.0625000009313225,0.0625000009313225,1.0,0.0625000009313225,1.0,12.0,0,0.0625000009313225,0.0,0.5082149479006018,MATCHED,-0.4457149469692793,0.4457149469692793,-87.70205378855829,2026-07-03 23:48:44
district,Haryana||Ambala,Ambala,,,,Haryana,Ambala,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,1.9374999701976776,1.9374999701976776,1.3960831001551306,2.704910964944047,1.0,12.0,0,1.9374999701976776,0.0,0.0,MATCHED,1.9374999701976776,1.9374999701976776,,2026-07-03 12:56:55
district,Haryana||Ambala,Ambala,,,,Haryana,Ambala,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0,0.0,1.0,0.0,1.0,12.0,0,0.0,0.0,0.0,MATCHED,0.0,0.0,,2026-07-03 17:42:45
district,Haryana||Ambala,Ambala,,,,Haryana,Ambala,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.1458333320915699,0.1458333320915699,3.0,0.4374999962747097,1.0,12.0,0,0.1458333320915699,0.0,0.0,MATCHED,0.1458333320915699,0.1458333320915699,,2026-07-03 23:48:44
district,Uttar Pradesh||Ambedkar Nagar,Ambedkar Nagar,,,,Uttar Pradesh,Ambedkar Nagar,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.0,0.0,1.0,0.0,1.0,12.0,0,0.0,0.0,0.6396732330322266,MATCHED,-0.6396732330322266,0.6396732330322266,-100.0,2026-07-03 12:56:55
district,Uttar Pradesh||Ambedkar Nagar,Ambedkar Nagar,,,,Uttar Pradesh,Ambedkar Nagar,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0,0.0,1.0,0.0,1.0,12.0,0,0.0,0.0,0.6396732330322266,MATCHED,-0.6396732330322266,0.6396732330322266,-100.0,2026-07-03 17:42:45
district,Uttar Pradesh||Ambedkar Nagar,Ambedkar Nagar,,,,Uttar Pradesh,Ambedkar Nagar,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.2500000018626451,0.2500000018626451,3.0,0.7500000055879354,1.0,12.0,0,0.2500000018626451,0.0,0.6396732330322266,MATCHED,-0.38967323116958147,0.38967323116958147,-60.91754524766082,2026-07-03 23:48:44
district,Maharashtra||Amravati,Amravati,,,,Maharashtra,Amravati,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,28.65625,28.65625,0.3,8.596874999999999,0.32581760855475,12.0,7,9.336710845147056,0.0,21.698839515447617,MATCHED,6.957410484552383,6.957410484552383,32.063514178255176,2026-07-03 12:56:55
district,Maharashtra||Amravati,Amravati,,,,Maharashtra,Amravati,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,25.2734375,25.2734375,0.3,7.58203125,0.32581760855475,12.0,7,8.23453096620794,0.0,21.698839515447617,MATCHED,3.5745979845523834,3.5745979845523834,16.473682760811204,2026-07-03 17:42:45
district,Maharashtra||Amravati,Amravati,,,,Maharashtra,Amravati,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,30.46875,30.46875,0.3,9.140625,0.32581760855475,12.0,7,9.927255260652538,0.0,21.698839515447617,MATCHED,8.769910484552383,8.769910484552383,40.416495445800216,2026-07-03 23:48:44
district,Gujarat||Amreli,Amreli,,,,Gujarat,Amreli,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,3.55113634839654,3.55113634839654,0.7251459933122929,2.5750922947453976,2.174132369131493,12.0,8,3.55113634839654,0.0,3.752599965103648,MATCHED,-0.201463616707108,0.201463616707108,-5.36864090445472,2026-07-03 12:56:55
district,Gujarat||Amreli,Amreli,,,,Gujarat,Amreli,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,19.97159103304148,19.97159103304148,0.3,5.991477309912443,2.174132369131493,12.0,8,43.420882527991765,0.0,3.752599965103648,MATCHED,16.218991067937832,16.218991067937832,432.20676914038876,2026-07-03 17:42:45
